Dates,Confirmed,Projection
04/03/2020,4,2
05/03/2020,1,2
06/03/2020,2,2
07/03/2020,2,3
08/03/2020,3,4
09/03/2020,6,7
10/03/2020,15,13
11/03/2020,26,23
12/03/2020,57,35
13/03/2020,48,41
14/03/2020,40,45
15/03/2020,65,61
16/03/2020,91,82
17/03/2020,129,118
18/03/2020,131,139
19/03/2020,114,154
20/03/2020,156,200.5
21/03/2020,102,233.5
22/03/2020,113,309.5
23/03/2020,166,406.5
24/03/2020,172,558
25/03/2020,150,723
26/03/2020,179,898.5
27/03/2020,241,1022
28/03/2020,149,1132.5
29/03/2020,127,1544
30/03/2020,121,2085.5
31/03/2020,186,2560.5
01/04/2020,226,3480.5
02/04/2020,171,4157.5
03/04/2020,192,4635.5
04/04/2020,127,5806.5
05/04/2020,93,6550
06/04/2020,124,8613
07/04/2020,157,12551.5
08/04/2020,157,16572
09/04/2020,145,19579
10/04/2020,122,22041.5
11/04/2020,73,
12/04/2020,47,
13/04/2020,60,
14/04/2020,86,
15/04/2020,109,
16/04/2020,108,
17/04/2020,112,
18/04/2020,73,
19/04/2020,26,
20/04/2020,29,
21/04/2020,57,
22/04/2020,73,
23/04/2020,53,
24/04/2020,54,
25/04/2020,29,